text,AC,ACP,ac2,acp2,ac3,acp3,ac4,acp4,ac5,acp5,label
It is also extremely well priced.,price,positive,,,,,,,,,3.0
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",price,negative,,,,,,,,,1.0
They have authentic Indian at amazin prices.,price,positive,,,,,,,,,3.0
Although be warned their dinner menu to sit and take out prices are different.,price,neutral,,,,,,,,,2.0
I just wonder how you can have such a delicious meal for such little money.,price,positive,,,,,,,,,3.0
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",price,positive,,,,,,,,,3.0
"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.",price,negative,,,,,,,,,1.0
Decent wine at reasonable prices.,price,positive,,,,,,,,,3.0
The pizza is overpriced and soggy.,price,positive,,,,,,,,,3.0
Drinks way over priced.,price,negative,,,,,,,,,1.0
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,price,positive,,,,,,,,,3.0
Nice value.,price,positive,,,,,,,,,3.0
"Oh, but wait, we were out of drinks (which were also delightfully overpriced).",price,negative,,,,,,,,,1.0
"Oh, don't even let me start with how expensive the bills were!",price,negative,,,,,,,,,1.0
The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,price,positive,,,,,,,,,3.0
"Great food at REASONABLE prices, makes for an evening that can't be beat!",price,positive,,,,,,,,,3.0
Very affordable and excellent ambient!,price,positive,,,,,,,,,3.0
Great food and the prices are very reasonable.,price,positive,,,,,,,,,3.0
The menu prices are a bit expensive for what you get in quality and portion size.,price,negative,,,,,,,,,1.0
This restaurant is a wonderful place to go many times and it is reasonably priced.,price,positive,,,,,,,,,3.0
"Considering their price of $6.25 for lunch special, the dish was ridiculously small.",price,negative,,,,,,,,,1.0
"This place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else.",price,negative,,,,,,,,,1.0
And the prices were way to high for what you get.,price,negative,,,,,,,,,1.0
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",price,negative,,,,,,,,,1.0
"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",price,positive,,,,,,,,,3.0
"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",price,positive,,,,,,,,,3.0
"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",price,positive,,,,,,,,,3.0
"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",price,positive,,,,,,,,,3.0
"All of it was simply amazing, unique and tasty and best of all it didn't break the bank.",price,positive,,,,,,,,,3.0
"Take a good sense of humor,an American express card with no limit, walk out with a lollipop,gift bag in hand and enough marketing materials for alain to to take the show on the road",price,negative,,,,,,,,,1.0
"Check it out, it won't hurt your stomach or your wallet.",price,positive,,,,,,,,,3.0
We took advanatage of the half price sushi deal on saturday so it was well worth it.,price,positive,,,,,,,,,3.0
It was pretty inexpensive too.,price,positive,,,,,,,,,3.0
$20 for all you can eat sushi cannot be beaten.,price,positive,,,,,,,,,3.0
"The prices cannot be beat for the quality, quantity, freshness and taste.",price,positive,,,,,,,,,3.0
"Lunch came with pickels and slaw, no extra charge.",price,positive,,,,,,,,,3.0
Really tasty spring rolls and noodles for a good price though.,price,positive,,,,,,,,,3.0
We generally like good restaurants and eat out often but Kai was way to expensive for what we got.,price,negative,,,,,,,,,1.0
"The food was very good, a great deal, and the place its self was great.",price,positive,,,,,,,,,3.0
"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",price,negative,,,,,,,,,1.0
we spent 50 $$ definetly will come back with my friends!!!,price,positive,,,,,,,,,3.0
They charge different prices all the time.,price,negative,,,,,,,,,1.0
The food is okay and the prices here are mediocre.,price,neutral,,,,,,,,,2.0
I visit New Green Bo when I have money or when I am broke.,price,neutral,,,,,,,,,2.0
The prices were CHEAP compared to the quality of service and food.,price,positive,,,,,,,,,3.0
"The food is good, but very expensive for the casualness of it.",price,negative,,,,,,,,,1.0
Tasty but expensive.,price,negative,,,,,,,,,1.0
Acceptable prices.,price,positive,,,,,,,,,3.0
They charge $6.00 for rice.,price,negative,,,,,,,,,1.0
"$6 and there is much tasty food, all of it fresh and continually refilled.",price,positive,,,,,,,,,3.0
Also very inexpensive.,price,positive,,,,,,,,,3.0
"Spice is great Thai food, love the inexpensive appetizers.",price,positive,,,,,,,,,3.0
Very good service and very good prices.,price,positive,,,,,,,,,3.0
We all felt it was worth it.,price,positive,,,,,,,,,3.0
"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",price,negative,,,,,,,,,1.0
"Quality ingredients preparation all around, and a very fair price for NYC.",price,positive,,,,,,,,,3.0
But the pizza is way to expensive.,price,negative,,,,,,,,,1.0
"But for whatever reason, prices are about twice as high.",price,negative,,,,,,,,,1.0
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,price,negative,,,,,,,,,1.0
The food was very expensive (we spent $160 for lunch for two) but extremely tasty.,price,negative,,,,,,,,,1.0
Would recommend this place as a good date spot if you don't want to drop a ton of cash.,price,positive,,,,,,,,,3.0
"Had 1 appetizer, 2 entrees and 2 cokes and the bill was ~$55.00, not including tip.",price,neutral,,,,,,,,,2.0
and you can't beat the prices.,price,positive,,,,,,,,,3.0
"If you're looking for a great meal at a decent price, go to Del Frisco's!",price,positive,,,,,,,,,3.0
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",price,positive,,,,,,,,,3.0
Appetizers are somewhere around $7 each and the main dishes are between $11 and $16.,price,neutral,,,,,,,,,2.0
"Overall I was impressed and will return, it's a great QPR (Quality to Price Ratio).",price,positive,,,,,,,,,3.0
Diner food at bistro prices is a bummer....,price,negative,,,,,,,,,1.0
All of the pizzas are terrific and the price is even better!,price,positive,,,,,,,,,3.0
Their wines by the glass are a great accompaniment and you can eat like a king with wine for under $30.,price,positive,,,,,,,,,3.0
What a ripoff!,price,negative,,,,,,,,,1.0
"I was in love with Pongsri on 48th, but compared to Suan it is slow in service and overpriced.",price,negative,,,,,,,,,1.0
The price was extremely reasonable for the appetizers and food we ate.,price,positive,,,,,,,,,3.0
"Top spot in town for Vietnamese classics, better than places that cost a lot more.",price,positive,,,,,,,,,3.0
"For the quality of food, a little too expensive.",price,negative,,,,,,,,,1.0
I won't go back unless someone else is footing the bill.,price,negative,,,,,,,,,1.0
"Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.",price,positive,,,,,,,,,3.0
The price is reasonable although the service is poor.,price,positive,,,,,,,,,3.0
Spreads and toppings are great - though a bit pricey.,price,negative,,,,,,,,,1.0
"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!",price,positive,,,,,,,,,3.0
This isn't a value joint.,price,negative,,,,,,,,,1.0
"They have it all -- great price, food, and service.",price,positive,,,,,,,,,3.0
"Just straight up cheap, good food.",price,positive,,,,,,,,,3.0
"If you go for the pre-theatre menu, it's an even greater deal.",price,positive,,,,,,,,,3.0
Two words: Free wine.,price,positive,,,,,,,,,3.0
A little pricey but it really hits the spot on a Sunday morning!,price,negative,,,,,,,,,1.0
For $600 ( the most we have ever paid) not even waving a magic wand will ever get us back for a repeat performance.,price,negative,,,,,,,,,1.0
"When my husband and go there, we spend $60.00 (have LOBSTER TAILS UMMMMM need I say more) I can't say any more, it a place you'll never forget If you never go, you'll miss A Meal of your life time",price,positive,,,,,,,,,3.0
I love the fact that the pizza tastes so good and is so cheap.,price,positive,,,,,,,,,3.0
"If you want to save some money, don't go here.",price,negative,,,,,,,,,1.0
They offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.,price,negative,,,,,,,,,1.0
Prices too high for this cramped and unappealing resturant.,price,negative,,,,,,,,,1.0
"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",price,positive,,,,,,,,,3.0
For two people with tip was less than $25 bucks.,price,positive,,,,,,,,,3.0
I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,price,negative,,,,,,,,,1.0
The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,price,positive,,,,,,,,,3.0
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",price,negative,,,,,,,,,1.0
The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.,price,positive,,,,,,,,,3.0
"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.",price,positive,,,,,,,,,3.0
I ate here a week ago and found most dishes average at best and too expensive.,price,negative,,,,,,,,,1.0
"Good food at the restaurant (a bit expensive, but great if you want to impress your date).",price,negative,,,,,,,,,1.0
"Even though its good seafood, the prices are too high.",price,negative,,,,,,,,,1.0
"$160 for 2 filets, 2 sides, an appetizer and drinks.",price,neutral,,,,,,,,,2.0
Slightly above average wines start at $70+ with only one selection listed at $30+.,price,negative,,,,,,,,,1.0
"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique.",price,negative,,,,,,,,,1.0
"The food is very good for it's price, better than most fried dumplings I've had.",price,positive,,,,,,,,,3.0
"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",price,negative,,,,,,,,,1.0
I think this would be a pretty good spot if it were not so overpriced and overrated.,price,negative,,,,,,,,,1.0
"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.",price,positive,,,,,,,,,3.0
The bill is approximately $25 for 2 at lunch without drinks.,price,neutral,,,,,,,,,2.0
"Not the greatest sushi place, but excellent for a $19.95 all you can eat.",price,positive,,,,,,,,,3.0
sandwiches tho pricey are over stuffed - can serve 2 persons easily thus cost effective!,price,positive,,,,,,,,,3.0
"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",price,positive,,,,,,,,,3.0
Somewhat pricey but what the heck.,price,negative,,,,,,,,,1.0
"The waiters are sweet, the food is tasty and the bill is never too large.",price,positive,,,,,,,,,3.0
Taj Mahal offeres gret value and great food.,price,positive,,,,,,,,,3.0
The drinks are always welll made and wine selection is fairly priced.,price,positive,,,,,,,,,3.0
For those prices and the dressed up atmosphere you expect more and should get more.,price,negative,,,,,,,,,1.0
"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks.",price,negative,,,,,,,,,1.0
The prices were fantastic.,price,positive,,,,,,,,,3.0
"The sandwiches are dry, tasteless and way overpriced.",price,negative,,,,,,,,,1.0
This little place definitely exceeded my expectations and you sure get a lot of food for your money.,price,positive,,,,,,,,,3.0
IT is the best deal in town for a Monday night dinner at a fine restaurant.,price,positive,,,,,,,,,3.0
Highly recommend this as great value for excellent sushi and service.,price,positive,,,,,,,,,3.0
This place is a great bargain.,price,positive,,,,,,,,,3.0
It's a steal!,price,positive,,,,,,,,,3.0
"Pricey, but worth a try, at least once.",price,negative,,,,,,,,,1.0
This is a wonderful place on all stand points especially value ofr money.,price,positive,,,,,,,,,3.0
"This is some really good, inexpensive sushi.",price,positive,,,,,,,,,3.0
"Great food, great prices, great service.",price,positive,,,,,,,,,3.0
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",price,negative,,,,,,,,,1.0
"It is terrific, as is the value.",price,positive,,,,,,,,,3.0
I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a value for your dollar.,price,positive,,,,,,,,,3.0
"The overall price tag was very very expensive, something I did expect.",price,negative,,,,,,,,,1.0
The food is great and reasonably priced.,price,positive,,,,,,,,,3.0
The food is so cheap and the waiters are nice.,price,positive,,,,,,,,,3.0
Not worth the prices.,price,negative,,,,,,,,,1.0
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",price,positive,,,,,,,,,3.0
Price and quality of fish alone will keep us from making a return visit.,price,negative,,,,,,,,,1.0
But $1 for each small piece???,price,negative,,,,,,,,,1.0
There are much better places in NY with better prices.,price,negative,,,,,,,,,1.0
"Try the Pad Thai, it's fabulous and their prices are so cheap!",price,positive,,,,,,,,,3.0
I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.,price,positive,,,,,,,,,3.0
We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,price,positive,,,,,,,,,3.0
"The food is expensive, but worth every bite.",price,negative,,,,,,,,,1.0
There was a great deal for 6 Blue Point oysters and a beer or glass of wine for $8!,price,positive,,,,,,,,,3.0
Excellent lunch buffet for only $6.95.,price,positive,,,,,,,,,3.0
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",price,positive,,,,,,,,,3.0
"Unlike other places in NYC where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price).",price,positive,,,,,,,,,3.0
"If you are looking for a good quality, cheap eats - this is the place.",price,positive,,,,,,,,,3.0
This big draw is the all you can sushi here for $19.95!,price,positive,,,,,,,,,3.0
"Overall, not worth the money.",price,negative,,,,,,,,,1.0
"This place doesn't compare with Mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion.",price,negative,,,,,,,,,1.0
"- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but I thought a bit overpriced.",price,negative,,,,,,,,,1.0
And cheap!,price,positive,,,,,,,,,3.0
I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.,price,positive,,,,,,,,,3.0
"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling.",price,positive,,,,,,,,,3.0
Moderate prices.,price,neutral,,,,,,,,,2.0
The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,price,positive,,,,,,,,,3.0
Could be pricey without a prix fixe meal.,price,negative,,,,,,,,,1.0
"For $760 for 2 people, it's a once in a lifetime experience.",price,negative,,,,,,,,,1.0
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",price,positive,,,,,,,,,3.0
The food is great and they have a good selecion of wines at reasonable prices.,price,positive,,,,,,,,,3.0
Incredible food at a very agreable price brings me back just about every other day to this authentic Thai restaurant.,price,positive,,,,,,,,,3.0
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",price,positive,,,,,,,,,3.0
The all you can eat deal is truly amazing here.,price,positive,,,,,,,,,3.0
"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",price,positive,,,,,,,,,3.0
And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,price,negative,,,,,,,,,1.0
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",price,positive,,,,,,,,,3.0
"Overall, worht every penny.",price,positive,,,,,,,,,3.0
The price very reasonable.,price,positive,,,,,,,,,3.0
And the bill was outragous.,price,negative,,,,,,,,,1.0
"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.",price,negative,,,,,,,,,1.0
The only fallback on this restaurant is the prices.,price,negative,,,,,,,,,1.0
$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,price,positive,,,,,,,,,3.0
"I need at least three rolls to be full, and that's at least $14.00!",price,negative,,,,,,,,,1.0
The prices are exceptionally reasonable for food of this caliber.,price,positive,,,,,,,,,3.0
"Sake collection was excellent (Try Nanbu Bijin), but pricy.",price,negative,,,,,,,,,1.0
"I got the $10 10-piece dim sum combo, every bite of which was great.",price,positive,,,,,,,,,3.0
The prices are about $9 for an entree for dinner and even less for lunch.,price,positive,,,,,,,,,3.0
Reasonable prices.,price,positive,,,,,,,,,3.0
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,price,negative,,,,,,,,,1.0
"Even with a relatively inexpensive botle of wine, if you can call $70.00 inexpensive, the cost is through the roof for better than average fare.",price,negative,,,,,,,,,1.0
The catch is that you are charged extra for ANYTHING that you leave on your plate so don't be a greedy pig!,price,negative,,,,,,,,,1.0
"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",price,negative,,,,,,,,,1.0
Sushi wasn't anything spectacular for the price.,price,negative,,,,,,,,,1.0
"Overall, I'm still impressed that the place even exists and the prices are quite decent but then again, its Chinatown.",price,positive,,,,,,,,,3.0
this little place has a cute interior decor and affordable city prices.,price,positive,,,,,,,,,3.0
"It's a really great deal, considering we got full off of four dollars.",price,positive,,,,,,,,,3.0
The dim sum is delectable while the prices are quite easy on the wallet.,price,positive,,,,,,,,,3.0
Prices are in line.,price,neutral,,,,,,,,,2.0
This place is not worth the prices.,price,negative,,,,,,,,,1.0
They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,price,negative,,,,,,,,,1.0
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive,,,,,,,,,3.0
It is very overpriced and not very tasty.,price,negative,,,,,,,,,1.0
"While it's not Nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.",price,positive,,,,,,,,,3.0
The sushi is average and the prices are anything but.,price,negative,,,,,,,,,1.0
"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY.",price,negative,,,,,,,,,1.0
Baluchi's has solid food and a nice decor at reasonable prices.,price,positive,,,,,,,,,3.0
"In any event, even though its a bit on the pricey side, we still love this restaurant and will definitely go back.",price,negative,,,,,,,,,1.0
A great choice at any cost and a great deal.,price,positive,,,,,,,,,3.0
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",price,positive,,,,,,,,,3.0
"Overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.",price,negative,,,,,,,,,1.0
The prices and ambience are especially great considering it's in the West Village.,price,positive,,,,,,,,,3.0
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",price,positive,,,,,,,,,3.0
"However, for what we spent, overall, it just was not up to par.",price,negative,,,,,,,,,1.0
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,price,positive,,,,,,,,,3.0
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",price,positive,,,,,,,,,3.0
"What is even better, is that the prices are very affordable as well, and the food is really good.",price,positive,,,,,,,,,3.0
Much more reasonably priced too!,price,positive,,,,,,,,,3.0
The food was boring and expensive.,price,negative,,,,,,,,,1.0
And affordable.,price,positive,,,,,,,,,3.0
would have rather tried terrace in the sky or water club for that price,price,negative,,,,,,,,,1.0
"Over price, and small portions .",price,negative,,,,,,,,,1.0
Prices are higher to dine in and their chicken tikka marsala is quite good.,price,negative,,,,,,,,,1.0
We usually just get some of the dinner specials and they are very reasonably priced and very tasty.,price,positive,,,,,,,,,3.0
"A large is $20, and toppings are about $3 each.",price,negative,,,,,,,,,1.0
"Great wine list, reasonably priced.--Sara",price,positive,,,,,,,,,3.0
"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",price,positive,,,,,,,,,3.0
"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",price,positive,,,,,,,,,3.0
"While this can hardly be called a restaurant, it is possibly the best deal in Manhatten: $4 for a plate heaped with rice and 2-3 entrees.",price,positive,,,,,,,,,3.0
Overall a disappointing experience for that price category.,price,negative,,,,,,,,,1.0
Nothing fancy but really good food with pretty reasonable price.,price,positive,,,,,,,,,3.0
"Anyway, the food is good, the price is right and they have a decent wine list.",price,positive,,,,,,,,,3.0
Edible but really a ripoff at those prices given whats in the area.,price,negative,,,,,,,,,1.0
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,price,positive,,,,,,,,,3.0
"As I made the title, it's an affordable restaurant for great taste.",price,positive,,,,,,,,,3.0
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,,,,,,,,,3.0
"It's only $1.95 for a regular slice and $4.00 for a slice with a mushroom, not mushrooms.",price,positive,,,,,,,,,3.0
Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.,price,positive,,,,,,,,,3.0
"While the prices are nothing special, the portions are huge.",price,positive,,,,,,,,,3.0
Not pretentious and very economical.,price,positive,,,,,,,,,3.0
"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",price,positive,,,,,,,,,3.0
Priced at upper intermediate range.,price,negative,,,,,,,,,1.0
"Then, get ripped on free box wine.",price,positive,,,,,,,,,3.0
We spent $200 in this place and left hungry and very disappointed.,price,negative,,,,,,,,,1.0
"The $300 bill was a bit steep, but the experience was great.",price,negative,,,,,,,,,1.0
Delicious food at a great price but do not go here on a cold day and sit by the front door.,price,positive,,,,,,,,,3.0
"Outstanding Bagels, but you get what you pay for.",price,negative,,,,,,,,,1.0
Prices are very good.,price,positive,,,,,,,,,3.0
"At 5 dumplings for $1, you just cannot go wrong.",price,positive,,,,,,,,,3.0
bottles of wine are cheap and good.,price,positive,,,,,,,,,3.0
Also a little more expensive than your average bagel place.,price,negative,,,,,,,,,1.0
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",price,positive,,,,,,,,,3.0
Great value for the quality ingredients.,price,positive,,,,,,,,,3.0
It's a great place to pick up a cheap lunch or dinner.,price,positive,,,,,,,,,3.0
"It's true, this place is not cheap.",price,negative,,,,,,,,,1.0
The bagels are also reasonably priced for NYC.,price,positive,,,,,,,,,3.0
"The food is fresh, delicious, and reasonably priced.",price,positive,,,,,,,,,3.0
I came to this restaurant expecting to be surprised but left bored and overcharged.,price,negative,,,,,,,,,1.0
Amma has the worst value for money I have experienced in NYC over the past 2 years.,price,negative,,,,,,,,,1.0
The spicy Tuna roll is huge and probably the best that I've had at this price range.,price,positive,,,,,,,,,3.0
INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,price,negative,,,,,,,,,1.0
"Otherwise, this place has great service and prices and a nice friendly atmosphere.",price,positive,,,,,,,,,3.0
"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",price,negative,,,,,,,,,1.0
No free drink.,price,negative,,,,,,,,,1.0
"Alone for 100 bucks, it is really overprice.",price,negative,,,,,,,,,1.0
The lunch special is an asbolute steal.,price,positive,,,,,,,,,3.0
Definitely not worth the price!,price,negative,,,,,,,,,1.0
"good music, great food, speedy service affordable prices.",price,positive,,,,,,,,,3.0
Nothing better than buying a snapple for $3.25 too.,price,positive,,,,,,,,,3.0
"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",price,negative,,,,,,,,,1.0
the drinks are amazing and half off till 8pm.,price,positive,,,,,,,,,3.0
Get the soup and a nosh (pastrami sandwich) for $8 and you're golden.,price,positive,,,,,,,,,3.0
Price no more than a Jersey deli but way better.,price,positive,,,,,,,,,3.0
Also they were $15 each!,price,negative,,,,,,,,,1.0
"This restaurant is not worth the time, effort, or money to say the least.",price,negative,,,,,,,,,1.0
And all of that won't break your bank!,price,positive,,,,,,,,,3.0
It is not worth for that bucks.,price,negative,,,,,,,,,1.0
"For the price, you cannot eat this well in Manhattan.",price,positive,,,,,,,,,3.0
The food is reliable and the price is moderate.,price,neutral,,,,,,,,,2.0
i would go again if i didn't have to pay.,price,negative,,,,,,,,,1.0
And they provided a delicious dessert on the house!,price,positive,,,,,,,,,3.0
"This is, by far, my favorite restaurant in NYC and I only wish it were more affordable so I could go more often!",price,negative,,,,,,,,,1.0
"You can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, La Villa can't be beat.",price,positive,,,,,,,,,3.0
Deliveries often take up to an hour and the prices are higher than most other pizzerias in the area.,price,negative,,,,,,,,,1.0
"If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.",price,negative,,,,,,,,,1.0
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,positive,,,,,,,,,3.0
"The only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price X4, which makes no sense whatsoever.",price,negative,,,,,,,,,1.0
"Stick to dimsum, not super overpriced noodles.",price,negative,,,,,,,,,1.0
Cheese plate is a varied delight and great bargain at $10.,price,positive,,,,,,,,,3.0
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",price,positive,,,,,,,,,3.0
"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks).",price,negative,,,,,,,,,1.0
Never in my life did I think that I could be satisfied both in taste and in quantity for $3.00 in NYC.,price,positive,,,,,,,,,3.0
"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",price,negative,,,,,,,,,1.0
The prices are wonderfully low.,price,positive,,,,,,,,,3.0
"In addition, the food is very good and the prices are reasonable.",price,positive,,,,,,,,,3.0
"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.",price,positive,,,,,,,,,3.0
They are served with a free appetizer and the portions are perfect for lunch.,price,positive,,,,,,,,,3.0
"Spice is sleek, modern and cool with a menu that will not hurt your wallet.",price,positive,,,,,,,,,3.0
Great food at reasonable prices.,price,positive,,,,,,,,,3.0
Pair you food with the excellent beers on tap or their well priced wine list.,price,positive,,,,,,,,,3.0
Dakshin is one of the few affordable and tasty Indian restaurant in the upper east side.,price,positive,,,,,,,,,3.0
Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,price,positive,,,,,,,,,3.0
I must say it's a little pricey for the food because it was not as spectacular as the view.,price,negative,,,,,,,,,1.0
"For the location, the prices are very reasonable.",price,positive,,,,,,,,,3.0
"I found the food, service and value exceptional everytime I have been there.",price,positive,,,,,,,,,3.0
Food is great and inexpensive.,price,positive,,,,,,,,,3.0
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,price,negative,,,,,,,,,1.0
I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.,price,positive,,,,,,,,,3.0
"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",price,positive,,,,,,,,,3.0
"The Thali was small, thoroughly unremarkable, and $14.95.",price,negative,,,,,,,,,1.0
and for this i had to shell out a small fortune?,price,negative,,,,,,,,,1.0
"Service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, I'm willing to overlook it.",price,positive,,,,,,,,,3.0
